sku_id,product_family_key,brand,component,bom_cost_usd,cost_share_pct,warranty_claim_rate_pct
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Motherboard,307.93,33.0,9.58
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Display Panel,217.95,23.3,2.34
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Battery,75.74,8.1,4.09
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,RAM Module,54.61,5.8,1.08
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Storage (SSD/HDD),100.1,10.7,1.96
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Keyboard/Chassis,123.91,13.3,2.89
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,Power Adapter,59.7,6.4,2.37
SKU-0015,Dell_i5_Unk_2TB_14-16in,Dell,TOTAL / MSRP,934.0,100.0,
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Motherboard,237.07,36.4,4.71
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Display Panel,156.37,24.0,2.56
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Battery,47.9,7.3,4.12
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,RAM Module,41.09,6.3,1.09
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Storage (SSD/HDD),70.82,10.9,2.28
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Keyboard/Chassis,95.61,14.7,3.04
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,Power Adapter,36.33,5.6,2.7
SKU-0016,Dell_i5_Unk_128GB_12-14in,Dell,TOTAL / MSRP,652.0,100.0,
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Motherboard,326.43,31.1,5.67
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Display Panel,231.57,22.1,2.3
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Battery,81.81,7.8,4.38
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,RAM Module,64.15,6.1,0.96
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Storage (SSD/HDD),110.8,10.6,2.04
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Keyboard/Chassis,141.98,13.5,2.94
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,Power Adapter,62.59,6.0,2.17
SKU-0017,Dell_i7_16GB_2TB_14-16in,Dell,TOTAL / MSRP,1049.8,100.0,
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Motherboard,227.44,32.2,10.14
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Display Panel,166.77,23.6,2.29
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Battery,61.88,8.8,4.07
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,RAM Module,42.59,6.0,1.15
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Storage (SSD/HDD),73.36,10.4,1.75
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Keyboard/Chassis,102.71,14.5,2.96
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,Power Adapter,41.38,5.9,2.68
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Lenovo,TOTAL / MSRP,706.0,100.0,
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Motherboard,239.53,33.7,12.54
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Display Panel,160.97,22.6,2.42
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Battery,52.06,7.3,4.57
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,RAM Module,38.66,5.4,0.93
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Storage (SSD/HDD),73.71,10.4,1.8
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Keyboard/Chassis,108.46,15.3,3.2
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Power Adapter,39.09,5.5,2.78
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Lenovo,TOTAL / MSRP,710.8,100.0,
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Motherboard,235.45,36.1,5.4
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Display Panel,150.6,23.1,2.42
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Battery,55.69,8.5,3.96
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,RAM Module,35.31,5.4,0.87
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Storage (SSD/HDD),71.72,11.0,2.3
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Keyboard/Chassis,95.41,14.6,3.23
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,Power Adapter,38.73,5.9,2.22
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Lenovo,TOTAL / MSRP,652.0,100.0,
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Motherboard,190.32,35.7,5.32
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Display Panel,121.15,22.8,2.52
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Battery,45.59,8.6,4.06
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,RAM Module,33.81,6.4,1.03
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Storage (SSD/HDD),55.96,10.5,2.07
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Keyboard/Chassis,80.55,15.1,3.11
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,Power Adapter,32.52,6.1,2.42
SKU-0021,HP_Unknown_Unk_Unk_Unk,HP,TOTAL / MSRP,532.4,100.0,
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Motherboard,128.19,35.9,7.06
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Display Panel,81.6,22.9,2.72
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Battery,28.5,8.0,3.71
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,RAM Module,21.93,6.1,0.95
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Storage (SSD/HDD),33.83,9.5,1.75
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Keyboard/Chassis,50.8,14.2,2.91
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Power Adapter,20.05,5.6,2.38
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,TOTAL / MSRP,356.8,100.0,
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Motherboard,184.71,34.7,7.91
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Display Panel,111.94,21.0,2.26
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Battery,42.89,8.1,3.83
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,RAM Module,31.97,6.0,1.06
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Storage (SSD/HDD),53.04,10.0,2.11
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Keyboard/Chassis,80.81,15.2,2.6
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,Power Adapter,29.29,5.5,2.57
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Acer,TOTAL / MSRP,532.4,100.0,
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Motherboard,124.18,34.8,7.17
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Display Panel,71.63,20.1,2.24
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Battery,30.8,8.6,4.01
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,RAM Module,22.98,6.4,0.96
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Storage (SSD/HDD),37.37,10.5,1.81
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Keyboard/Chassis,47.07,13.2,2.84
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,Power Adapter,20.74,5.8,2.48
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,HP,TOTAL / MSRP,356.8,100.0,
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Motherboard,291.69,34.3,8.71
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Display Panel,189.77,22.3,2.41
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Battery,70.12,8.2,4.08
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,RAM Module,49.36,5.8,1.13
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Storage (SSD/HDD),79.25,9.3,1.85
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Keyboard/Chassis,109.4,12.8,3.28
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,Power Adapter,46.81,5.5,2.52
SKU-0025,Dell_i5_16GB_2TB_14-16in,Dell,TOTAL / MSRP,851.6,100.0,
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Motherboard,245.35,34.5,14.04
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Display Panel,148.8,20.9,2.25
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Battery,59.35,8.3,4.04
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,RAM Module,44.95,6.3,0.91
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Storage (SSD/HDD),66.81,9.4,2.14
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Keyboard/Chassis,101.71,14.3,2.81
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,Power Adapter,46.33,6.5,2.37
SKU-0026,Dell_i5_8GB_512GB_14-16in,Dell,TOTAL / MSRP,710.8,100.0,
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Motherboard,207.91,31.0,8.25
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Display Panel,135.25,20.2,2.23
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Battery,54.63,8.2,3.97
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,RAM Module,37.04,5.5,1.11
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Storage (SSD/HDD),61.97,9.2,2.14
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Keyboard/Chassis,91.53,13.7,3.38
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Power Adapter,37.3,5.6,2.72
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Lenovo,TOTAL / MSRP,670.0,100.0,
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Motherboard,216.53,32.2,11.55
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Display Panel,159.09,23.7,2.42
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Battery,56.09,8.3,4.48
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,RAM Module,42.34,6.3,1.0
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Storage (SSD/HDD),65.78,9.8,2.02
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Keyboard/Chassis,96.48,14.3,2.66
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Power Adapter,42.2,6.3,2.65
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Microsoft,TOTAL / MSRP,672.4,100.0,
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Motherboard,357.54,36.7,10.28
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Display Panel,223.33,22.9,2.71
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Battery,79.07,8.1,4.31
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,RAM Module,53.84,5.5,1.01
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Storage (SSD/HDD),90.22,9.3,1.94
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Keyboard/Chassis,136.1,14.0,2.92
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Power Adapter,60.14,6.2,2.65
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Lenovo,TOTAL / MSRP,974.8,100.0,
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Motherboard,197.64,37.1,8.85
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Display Panel,116.24,21.8,2.84
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Battery,39.52,7.4,3.52
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,RAM Module,34.32,6.4,1.13
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Storage (SSD/HDD),56.33,10.6,1.71
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Keyboard/Chassis,75.67,14.2,3.1
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,Power Adapter,29.42,5.5,2.76
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Asus,TOTAL / MSRP,532.4,100.0,
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Motherboard,281.29,36.3,4.8
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Display Panel,171.1,22.1,2.57
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Battery,65.01,8.4,3.65
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,RAM Module,44.94,5.8,0.97
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Storage (SSD/HDD),84.03,10.8,1.98
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Keyboard/Chassis,107.44,13.9,2.75
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,Power Adapter,44.15,5.7,2.56
SKU-0031,HP_i5_16GB_512GB_14-16in,HP,TOTAL / MSRP,774.8,100.0,
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Motherboard,245.57,34.5,12.29
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Display Panel,156.85,22.1,2.86
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Battery,55.89,7.9,3.5
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,RAM Module,40.94,5.8,0.94
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Storage (SSD/HDD),66.96,9.4,2.24
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Keyboard/Chassis,102.0,14.3,2.89
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,Power Adapter,38.94,5.5,2.71
SKU-0032,HP_i5_8GB_512GB_14-16in,HP,TOTAL / MSRP,710.8,100.0,
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Motherboard,150.33,34.0,9.47
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Display Panel,104.37,23.6,2.83
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Battery,38.21,8.6,4.03
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,RAM Module,24.72,5.6,1.06
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Storage (SSD/HDD),44.7,10.1,1.85
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Keyboard/Chassis,57.03,12.9,3.27
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Power Adapter,26.85,6.1,2.67
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,TOTAL / MSRP,442.4,100.0,
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Lenovo,Motherboard,280.83,36.2,9.96
