sku_id,product_family_key,component,component_resale_value_usd,resale_pct_of_bom_cost,avg_parts_listing_count
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Battery,8.48,19.1,9
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,RAM Module,12.99,43.5,20
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),24.33,42.8,52
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Keyboard/Chassis,11.24,13.9,18
SKU-0007,Samsung_Unknown_Unk_Unk_Unk,Power Adapter,8.56,25.2,4
SKU-0008,Dell_i5_Unk_1TB_14-16in,Motherboard,43.62,16.3,43
SKU-0008,Dell_i5_Unk_1TB_14-16in,Display Panel,137.45,82.8,26
SKU-0008,Dell_i5_Unk_1TB_14-16in,Battery,13.49,22.1,51
SKU-0008,Dell_i5_Unk_1TB_14-16in,RAM Module,20.19,46.4,37
SKU-0008,Dell_i5_Unk_1TB_14-16in,Storage (SSD/HDD),34.65,45.7,20
SKU-0008,Dell_i5_Unk_1TB_14-16in,Keyboard/Chassis,16.14,15.9,18
SKU-0008,Dell_i5_Unk_1TB_14-16in,Power Adapter,10.98,21.4,16
SKU-0009,Dell_i5_Unk_256GB_12-14in,Motherboard,44.34,18.9,35
SKU-0009,Dell_i5_Unk_256GB_12-14in,Display Panel,104.35,70.2,24
SKU-0009,Dell_i5_Unk_256GB_12-14in,Battery,9.87,19.4,56
SKU-0009,Dell_i5_Unk_256GB_12-14in,RAM Module,18.69,43.0,35
SKU-0009,Dell_i5_Unk_256GB_12-14in,Storage (SSD/HDD),24.69,36.3,50
SKU-0009,Dell_i5_Unk_256GB_12-14in,Keyboard/Chassis,14.08,15.7,19
SKU-0009,Dell_i5_Unk_256GB_12-14in,Power Adapter,10.29,23.3,8
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Motherboard,50.7,20.5,37
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Display Panel,69.15,42.8,34
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Battery,10.32,18.0,27
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,RAM Module,19.99,50.8,48
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Storage (SSD/HDD),28.27,45.9,4
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Keyboard/Chassis,12.66,14.2,42
SKU-0010,Lenovo_i5_Unk_256GB_14-16in,Power Adapter,9.99,23.9,31
SKU-0011,Dell_i5_8GB_256GB_14-16in,Motherboard,34.14,15.7,9
SKU-0011,Dell_i5_8GB_256GB_14-16in,Display Panel,89.08,60.2,48
SKU-0011,Dell_i5_8GB_256GB_14-16in,Battery,10.82,19.0,30
SKU-0011,Dell_i5_8GB_256GB_14-16in,RAM Module,19.38,47.3,53
SKU-0011,Dell_i5_8GB_256GB_14-16in,Storage (SSD/HDD),24.98,37.4,24
SKU-0011,Dell_i5_8GB_256GB_14-16in,Keyboard/Chassis,12.61,14.1,45
SKU-0011,Dell_i5_8GB_256GB_14-16in,Power Adapter,10.08,27.0,46
SKU-0012,Dell_i7_16GB_512GB_14-16in,Motherboard,61.97,17.5,37
SKU-0012,Dell_i7_16GB_512GB_14-16in,Display Panel,147.85,67.1,44
SKU-0012,Dell_i7_16GB_512GB_14-16in,Battery,13.99,18.6,30
SKU-0012,Dell_i7_16GB_512GB_14-16in,RAM Module,24.97,40.7,25
SKU-0012,Dell_i7_16GB_512GB_14-16in,Storage (SSD/HDD),33.34,34.7,3
SKU-0012,Dell_i7_16GB_512GB_14-16in,Keyboard/Chassis,17.81,13.2,27
SKU-0012,Dell_i7_16GB_512GB_14-16in,Power Adapter,17.14,28.4,41
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Motherboard,34.84,18.4,53
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Display Panel,63.31,51.4,7
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Battery,8.96,22.9,7
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,RAM Module,14.27,44.9,41
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),21.57,41.8,12
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Keyboard/Chassis,11.29,13.9,12
SKU-0013,Lenovo_Unknown_Unk_Unk_Unk,Power Adapter,9.07,27.7,7
SKU-0014,Dell_i5_16GB_512GB_14-16in,Motherboard,57.36,20.0,34
SKU-0014,Dell_i5_16GB_512GB_14-16in,Display Panel,113.69,61.3,35
SKU-0014,Dell_i5_16GB_512GB_14-16in,Battery,13.89,22.6,5
SKU-0014,Dell_i5_16GB_512GB_14-16in,RAM Module,20.28,41.0,31
SKU-0014,Dell_i5_16GB_512GB_14-16in,Storage (SSD/HDD),24.22,34.2,53
SKU-0014,Dell_i5_16GB_512GB_14-16in,Keyboard/Chassis,17.43,15.7,31
SKU-0014,Dell_i5_16GB_512GB_14-16in,Power Adapter,13.62,27.4,43
SKU-0015,Dell_i5_Unk_2TB_14-16in,Motherboard,47.73,15.5,27
SKU-0015,Dell_i5_Unk_2TB_14-16in,Display Panel,129.46,59.4,11
SKU-0015,Dell_i5_Unk_2TB_14-16in,Battery,16.21,21.4,38
SKU-0015,Dell_i5_Unk_2TB_14-16in,RAM Module,23.43,42.9,34
SKU-0015,Dell_i5_Unk_2TB_14-16in,Storage (SSD/HDD),43.04,43.0,27
SKU-0015,Dell_i5_Unk_2TB_14-16in,Keyboard/Chassis,18.83,15.2,22
SKU-0015,Dell_i5_Unk_2TB_14-16in,Power Adapter,16.72,28.0,51
SKU-0016,Dell_i5_Unk_128GB_12-14in,Motherboard,48.6,20.5,33
SKU-0016,Dell_i5_Unk_128GB_12-14in,Display Panel,119.94,76.7,55
SKU-0016,Dell_i5_Unk_128GB_12-14in,Battery,9.72,20.3,23
SKU-0016,Dell_i5_Unk_128GB_12-14in,RAM Module,20.09,48.9,47
SKU-0016,Dell_i5_Unk_128GB_12-14in,Storage (SSD/HDD),32.58,46.0,7
SKU-0016,Dell_i5_Unk_128GB_12-14in,Keyboard/Chassis,15.2,15.9,49
SKU-0016,Dell_i5_Unk_128GB_12-14in,Power Adapter,9.41,25.9,40
SKU-0017,Dell_i7_16GB_2TB_14-16in,Motherboard,62.35,19.1,7
SKU-0017,Dell_i7_16GB_2TB_14-16in,Display Panel,156.54,67.6,47
SKU-0017,Dell_i7_16GB_2TB_14-16in,Battery,18.57,22.7,27
SKU-0017,Dell_i7_16GB_2TB_14-16in,RAM Module,30.66,47.8,21
SKU-0017,Dell_i7_16GB_2TB_14-16in,Storage (SSD/HDD),43.32,39.1,28
SKU-0017,Dell_i7_16GB_2TB_14-16in,Keyboard/Chassis,19.74,13.9,52
SKU-0017,Dell_i7_16GB_2TB_14-16in,Power Adapter,13.83,22.1,43
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Motherboard,40.71,17.9,27
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Display Panel,124.24,74.5,46
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Battery,11.7,18.9,18
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,RAM Module,16.7,39.2,37
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Storage (SSD/HDD),26.41,36.0,51
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Keyboard/Chassis,16.02,15.6,56
SKU-0018,Lenovo_i5_Unk_512GB_14-16in,Power Adapter,11.63,28.1,12
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Motherboard,40.24,16.8,30
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Display Panel,106.08,65.9,30
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Battery,11.92,22.9,56
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,RAM Module,16.93,43.8,15
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Storage (SSD/HDD),33.1,44.9,8
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Keyboard/Chassis,16.81,15.5,4
SKU-0019,Lenovo_i5_8GB_512GB_14-16in,Power Adapter,9.93,25.4,7
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Motherboard,37.91,16.1,23
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Display Panel,93.22,61.9,51
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Battery,10.86,19.5,3
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,RAM Module,16.81,47.6,7
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Storage (SSD/HDD),29.19,40.7,39
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Keyboard/Chassis,13.83,14.5,23
SKU-0020,Lenovo_i5_Unk_128GB_14-16in,Power Adapter,11.0,28.4,15
SKU-0021,HP_Unknown_Unk_Unk_Unk,Motherboard,31.97,16.8,41
SKU-0021,HP_Unknown_Unk_Unk_Unk,Display Panel,93.53,77.2,52
SKU-0021,HP_Unknown_Unk_Unk_Unk,Battery,9.3,20.4,32
SKU-0021,HP_Unknown_Unk_Unk_Unk,RAM Module,15.11,44.7,25
SKU-0021,HP_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),23.73,42.4,53
SKU-0021,HP_Unknown_Unk_Unk_Unk,Keyboard/Chassis,13.85,17.2,52
SKU-0021,HP_Unknown_Unk_Unk_Unk,Power Adapter,7.97,24.5,36
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Motherboard,23.97,18.7,53
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Display Panel,48.72,59.7,19
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Battery,5.64,19.8,36
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,RAM Module,9.01,41.1,45
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Storage (SSD/HDD),12.01,35.5,57
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Keyboard/Chassis,8.08,15.9,6
SKU-0022,Lenovo_celeron_4GB_32GB_Sub-12in,Power Adapter,5.61,28.0,5
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Motherboard,36.39,19.7,20
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Display Panel,72.76,65.0,3
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Battery,9.61,22.4,51
SKU-0023,Acer_Unknown_Unk_Unk_Unk,RAM Module,12.4,38.8,59
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),21.27,40.1,45
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Keyboard/Chassis,11.31,14.0,3
SKU-0023,Acer_Unknown_Unk_Unk_Unk,Power Adapter,8.38,28.6,49
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Motherboard,22.1,17.8,47
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Display Panel,37.96,53.0,5
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Battery,6.22,20.2,47
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,RAM Module,10.02,43.6,27
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Storage (SSD/HDD),15.25,40.8,19
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Keyboard/Chassis,6.26,13.3,19
SKU-0024,HP_celeron_4GB_32GB_Sub-12in,Power Adapter,4.96,23.9,43
SKU-0025,Dell_i5_16GB_2TB_14-16in,Motherboard,56.3,19.3,51
SKU-0025,Dell_i5_16GB_2TB_14-16in,Display Panel,85.97,45.3,54
SKU-0025,Dell_i5_16GB_2TB_14-16in,Battery,13.39,19.1,47
SKU-0025,Dell_i5_16GB_2TB_14-16in,RAM Module,18.95,38.4,23
SKU-0025,Dell_i5_16GB_2TB_14-16in,Storage (SSD/HDD),28.45,35.9,13
SKU-0025,Dell_i5_16GB_2TB_14-16in,Keyboard/Chassis,14.22,13.0,11
SKU-0025,Dell_i5_16GB_2TB_14-16in,Power Adapter,11.37,24.3,38
SKU-0026,Dell_i5_8GB_512GB_14-16in,Motherboard,37.54,15.3,56
SKU-0026,Dell_i5_8GB_512GB_14-16in,Display Panel,112.34,75.5,59
SKU-0026,Dell_i5_8GB_512GB_14-16in,Battery,11.81,19.9,47
SKU-0026,Dell_i5_8GB_512GB_14-16in,RAM Module,19.15,42.6,21
SKU-0026,Dell_i5_8GB_512GB_14-16in,Storage (SSD/HDD),26.99,40.4,3
SKU-0026,Dell_i5_8GB_512GB_14-16in,Keyboard/Chassis,15.66,15.4,13
SKU-0026,Dell_i5_8GB_512GB_14-16in,Power Adapter,11.91,25.7,8
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Motherboard,35.34,17.0,4
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Display Panel,56.4,41.7,11
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Battery,10.65,19.5,32
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,RAM Module,17.89,48.3,52
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Storage (SSD/HDD),28.07,45.3,14
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Keyboard/Chassis,14.64,16.0,31
SKU-0027,Lenovo_i5_8GB_256GB_14-16in,Power Adapter,8.5,22.8,32
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Motherboard,43.74,20.2,27
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Display Panel,88.14,55.4,41
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Battery,11.61,20.7,35
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,RAM Module,17.53,41.4,35
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Storage (SSD/HDD),22.89,34.8,42
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Keyboard/Chassis,16.4,17.0,9
SKU-0028,Microsoft_i5_8GB_256GB_12-14in,Power Adapter,9.5,22.5,49
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Motherboard,57.56,16.1,35
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Display Panel,121.71,54.5,6
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Battery,17.63,22.3,35
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,RAM Module,23.37,43.4,47
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Storage (SSD/HDD),39.34,43.6,7
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Keyboard/Chassis,22.05,16.2,29
SKU-0029,Lenovo_i7_16GB_512GB_14-16in,Power Adapter,15.22,25.3,45
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Motherboard,32.61,16.5,25
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Display Panel,72.65,62.5,15
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Battery,7.31,18.5,42
SKU-0030,Asus_Unknown_Unk_Unk_Unk,RAM Module,15.75,45.9,6
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Storage (SSD/HDD),23.55,41.8,51
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Keyboard/Chassis,11.12,14.7,31
SKU-0030,Asus_Unknown_Unk_Unk_Unk,Power Adapter,8.27,28.1,3
SKU-0031,HP_i5_16GB_512GB_14-16in,Motherboard,57.1,20.3,56
SKU-0031,HP_i5_16GB_512GB_14-16in,Display Panel,123.71,72.3,11
SKU-0031,HP_i5_16GB_512GB_14-16in,Battery,14.11,21.7,28
SKU-0031,HP_i5_16GB_512GB_14-16in,RAM Module,20.45,45.5,13
SKU-0031,HP_i5_16GB_512GB_14-16in,Storage (SSD/HDD),33.44,39.8,29
SKU-0031,HP_i5_16GB_512GB_14-16in,Keyboard/Chassis,15.9,14.8,53
SKU-0031,HP_i5_16GB_512GB_14-16in,Power Adapter,9.93,22.5,55
SKU-0032,HP_i5_8GB_512GB_14-16in,Motherboard,37.82,15.4,23
SKU-0032,HP_i5_8GB_512GB_14-16in,Display Panel,86.58,55.2,22
SKU-0032,HP_i5_8GB_512GB_14-16in,Battery,12.85,23.0,51
SKU-0032,HP_i5_8GB_512GB_14-16in,RAM Module,17.85,43.6,53
SKU-0032,HP_i5_8GB_512GB_14-16in,Storage (SSD/HDD),24.44,36.5,31
SKU-0032,HP_i5_8GB_512GB_14-16in,Keyboard/Chassis,16.83,16.5,21
SKU-0032,HP_i5_8GB_512GB_14-16in,Power Adapter,9.58,24.6,4
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Motherboard,23.9,15.9,10
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Display Panel,59.7,57.2,12
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Battery,8.33,21.8,57
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,RAM Module,11.64,47.1,3
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Storage (SSD/HDD),16.27,36.4,10
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Keyboard/Chassis,7.76,13.6,35
SKU-0033,Other/Unbranded_pentium_Unk_Unk_14-16in,Power Adapter,7.33,27.3,26
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Motherboard,53.08,18.9,23
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Display Panel,103.53,61.9,12
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Battery,9.78,17.2,21
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,RAM Module,23.77,50.3,49
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Storage (SSD/HDD),34.86,43.9,5
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Keyboard/Chassis,17.23,15.6,40
SKU-0034,Lenovo_i5_16GB_512GB_14-16in,Power Adapter,13.58,27.7,37
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Motherboard,20.15,17.9,48
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Display Panel,52.76,67.6,19
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Battery,5.66,20.8,41
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,RAM Module,8.87,43.9,28
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Storage (SSD/HDD),13.38,37.3,13
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Keyboard/Chassis,8.72,16.4,43
SKU-0035,Dell_celeron_4GB_32GB_Sub-12in,Power Adapter,5.33,26.1,14
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Motherboard,45.85,20.0,42
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Display Panel,68.84,45.3,12
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Battery,12.16,19.3,48
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,RAM Module,19.12,48.2,53
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Storage (SSD/HDD),23.23,34.8,13
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Keyboard/Chassis,15.6,16.0,41
SKU-0036,Lenovo_i5_Unk_1TB_14-16in,Power Adapter,10.79,24.2,26
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Motherboard,29.45,16.7,37
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Display Panel,98.37,76.1,45
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Battery,7.49,17.6,11
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,RAM Module,15.31,47.8,42
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Storage (SSD/HDD),23.77,43.8,39
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Keyboard/Chassis,8.88,12.8,14
SKU-0037,Other/Unbranded_i3_Unk_256GB_12-14in,Power Adapter,9.01,28.1,19
SKU-0038,Dell_i7_32GB_2TB_14-16in,Motherboard,84.49,20.0,10
SKU-0038,Dell_i7_32GB_2TB_14-16in,Display Panel,186.79,62.3,18
SKU-0038,Dell_i7_32GB_2TB_14-16in,Battery,22.58,19.9,17
SKU-0038,Dell_i7_32GB_2TB_14-16in,RAM Module,39.08,47.3,34
SKU-0038,Dell_i7_32GB_2TB_14-16in,Storage (SSD/HDD),49.97,36.2,23
SKU-0038,Dell_i7_32GB_2TB_14-16in,Keyboard/Chassis,24.56,13.3,9
SKU-0038,Dell_i7_32GB_2TB_14-16in,Power Adapter,21.76,28.5,25
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Motherboard,37.76,18.1,41
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Display Panel,83.24,61.9,47
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Battery,9.37,19.0,57
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,RAM Module,19.46,49.1,6
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Storage (SSD/HDD),29.58,41.5,18
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Keyboard/Chassis,13.57,14.6,37
SKU-0039,Other/Unbranded_i5_8GB_512GB_12-14in,Power Adapter,12.07,27.8,15
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Motherboard,50.98,15.6,51
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Display Panel,171.92,75.8,58
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Battery,14.13,17.6,41
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,RAM Module,24.27,38.3,47
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Storage (SSD/HDD),38.39,37.6,39
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Keyboard/Chassis,23.0,17.2,11
SKU-0040,Lenovo_i7_16GB_2TB_14-16in,Power Adapter,12.91,22.2,39
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Motherboard,45.7,20.4,13
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Display Panel,81.56,51.2,6
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Battery,10.6,20.9,55
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,RAM Module,16.67,38.9,59
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Storage (SSD/HDD),27.45,43.4,8
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Keyboard/Chassis,13.62,13.7,11
SKU-0041,Other/Unbranded_i5_Unk_256GB_12-14in,Power Adapter,9.86,22.6,44
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Motherboard,35.39,17.8,15
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Display Panel,67.9,61.4,16
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Battery,8.81,19.3,30
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,RAM Module,15.82,49.8,44
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Storage (SSD/HDD),22.93,40.6,36
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Keyboard/Chassis,10.16,13.9,7
SKU-0042,Lenovo_i3_Unk_128GB_12-14in,Power Adapter,8.28,28.5,50
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Motherboard,46.3,17.9,31
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Display Panel,83.87,49.6,42
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Battery,12.85,22.3,21
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,RAM Module,18.5,40.4,50
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Storage (SSD/HDD),31.39,42.4,44
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Keyboard/Chassis,12.47,13.6,7
SKU-0043,Microsoft_i5_8GB_512GB_12-14in,Power Adapter,9.87,21.5,25
SKU-0044,Other/Unbranded_i5_Unk_256GB_14-16in,Motherboard,32.96,15.3,4
